seed,step,obs,patient_file
,3,"[8.66341019e+01 1.10796074e+02 9.46166763e+01 1.13452713e+02
 7.42870712e+01 9.76889372e-01 3.99964294e+01 2.02702694e+01
 3.28739967e+01 6.05077076e+00 5.30795996e+03 6.67999983e-01
 3.26479268e+00 2.20000000e+01]",./states/Soldier@0s.json
,4,"[ 8.7186340e+01  1.1245003e+02  9.4604927e+01  1.1304907e+02
  7.4949120e+01  9.7699529e-01  3.9952751e+01  2.0270269e+01
  3.2862057e+01  5.8574185e+00  5.2598384e+03 -2.9285714e-02
  3.0567467e-01  2.2000000e+01]",./states/Soldier@0s.json
,5,"[8.8400230e+01 9.5725609e+01 9.4561783e+01 1.1277344e+02 7.5210518e+01
 9.7695267e-01 3.9961700e+01 2.0270269e+01 3.2850964e+01 5.8452573e+00
 5.2153975e+03 1.1423530e-01 3.4723965e+01 2.2000000e+01]",./states/Soldier@0s.json
,1,"[7.1043938e+01 9.9580559e+01 9.5265091e+01 1.1452319e+02 7.3185287e+01
 9.7422767e-01 4.0909706e+01 1.4150944e+01 3.2832458e+01 5.6922464e+00
 4.6211392e+03 3.4953490e-02 4.8059693e-01 6.0000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient0@0s.json
,2,"[ 7.2155029e+01  8.5644447e+01  9.4532341e+01  1.1352269e+02
  7.2720093e+01  9.7923231e-01  3.9717442e+01  1.5463918e+01
  3.2803440e+01  5.6955037e+00  4.5877661e+03 -4.8285715e-02
  4.0421760e-01  6.0000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient0@0s.json
,3,"[ 7.2603378e+01  7.9793694e+01  9.5215813e+01  1.1384823e+02
  7.3884071e+01  9.8083079e-01  3.8602100e+01  1.5706806e+01
  3.2776424e+01  5.5734143e+00  4.5580229e+03 -2.7857143e-02
  3.8578056e+01  6.0000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient0@0s.json
,4,"[ 7.3259270e+01  8.1036736e+01  9.5187027e+01  1.1363872e+02
  7.4091179e+01  9.8131764e-01  3.8083958e+01  1.5625000e+01
  3.2751015e+01  5.5598469e+00  4.5314688e+03 -2.8268293e-02
  3.9977150e+00  6.0000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient0@0s.json
,5,"[7.36271057e+01 1.10283371e+02 9.51473389e+01 1.13422554e+02
 7.43016968e+01 9.81200218e-01 3.81464882e+01 1.54639177e+01
 3.27271309e+01 5.52443075e+00 4.50806396e+03 3.54682922e-01
 3.82881279e+01 6.00000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient0@0s.json
,1,"[7.1043938e+01 9.9580559e+01 9.5265091e+01 1.1452319e+02 7.3185287e+01
 9.7422767e-01 4.0909706e+01 1.4150944e+01 3.2832458e+01 5.6922464e+00
 4.6211392e+03 3.4953490e-02 4.8059693e-01 6.0000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient0@0s.json
,2,"[ 7.2155029e+01  8.5644447e+01  9.4532341e+01  1.1352269e+02
  7.2720093e+01  9.7923231e-01  3.9717442e+01  1.5463918e+01
  3.2803440e+01  5.6955037e+00  4.5877661e+03 -4.8285715e-02
  4.0421760e-01  6.0000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient0@0s.json
,3,"[ 7.2603378e+01  7.9793694e+01  9.5215813e+01  1.1384823e+02
  7.3884071e+01  9.8083079e-01  3.8602100e+01  1.5706806e+01
  3.2776424e+01  5.5734143e+00  4.5580229e+03 -2.7857143e-02
  3.8578056e+01  6.0000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient0@0s.json
,4,"[ 7.3259270e+01  8.1036736e+01  9.5187027e+01  1.1363872e+02
  7.4091179e+01  9.8131764e-01  3.8083958e+01  1.5625000e+01
  3.2751015e+01  5.5598469e+00  4.5314688e+03 -2.8268293e-02
  3.9977150e+00  6.0000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient0@0s.json
,5,"[7.36271057e+01 1.10283371e+02 9.51473389e+01 1.13422554e+02
 7.43016968e+01 9.81200218e-01 3.81464882e+01 1.54639177e+01
 3.27271309e+01 5.52443075e+00 4.50806396e+03 3.54682922e-01
 3.82881279e+01 6.00000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient0@0s.json
,1,"[7.1050758e+01 7.3552612e+01 9.5337494e+01 1.1435161e+02 7.3556244e+01
 9.7142690e-01 4.1107193e+01 1.3636364e+01 3.2888988e+01 5.8060613e+00
 5.5230898e+03 7.0023254e-02 4.1137997e+01 3.5000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient2@0s.json
,2,"[7.23090515e+01 1.02569595e+02 9.60340042e+01 1.14739410e+02
 7.47145157e+01 9.76841152e-01 3.99178581e+01 1.48514853e+01
 3.28690720e+01 5.76720524e+00 5.48386426e+03 2.14285720e-02
 6.73979187e+00 3.50000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient2@0s.json
,3,"[7.26084442e+01 1.12132339e+02 9.52715836e+01 1.13670738e+02
 7.42098389e+01 9.78467107e-01 3.89751854e+01 1.50753765e+01
 3.28506241e+01 5.68953133e+00 5.44859912e+03 6.67999983e-01
 7.78831434e+00 3.50000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient2@0s.json
,4,"[ 7.3350548e+01  1.0897496e+02  9.5256981e+01  1.1349138e+02
  7.4347023e+01  9.7903925e-01  3.8501026e+01  1.5151515e+01
  3.2833256e+01  5.6845798e+00  5.4165566e+03 -2.1439025e-02
  3.5090267e+01  3.5000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient2@0s.json
,5,"[7.38151398e+01 9.69619217e+01 9.52300339e+01 1.13304543e+02
 7.45319214e+01 9.78955448e-01 3.85109673e+01 1.50753765e+01
 3.28169289e+01 5.66184616e+00 5.38776416e+03 8.64146352e-02
 3.82343445e+01 3.50000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient2@0s.json
,1,"[7.1050758e+01 7.3552612e+01 9.5337494e+01 1.1435161e+02 7.3556244e+01
 9.7142690e-01 4.1107193e+01 1.3636364e+01 3.2888988e+01 5.8060613e+00
 5.5230898e+03 7.0023254e-02 4.1137997e+01 3.5000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient2@0s.json
,2,"[7.23090515e+01 1.02569595e+02 9.60340042e+01 1.14739410e+02
 7.47145157e+01 9.76841152e-01 3.99178581e+01 1.48514853e+01
 3.28690720e+01 5.76720524e+00 5.48386426e+03 2.14285720e-02
 6.73979187e+00 3.50000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient2@0s.json
,3,"[7.26084442e+01 1.12132339e+02 9.52715836e+01 1.13670738e+02
 7.42098389e+01 9.78467107e-01 3.89751854e+01 1.50753765e+01
 3.28506241e+01 5.68953133e+00 5.44859912e+03 6.67999983e-01
 7.78831434e+00 3.50000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient2@0s.json
,4,"[ 7.3350548e+01  1.0897496e+02  9.5256981e+01  1.1349138e+02
  7.4347023e+01  9.7903925e-01  3.8501026e+01  1.5151515e+01
  3.2833256e+01  5.6845798e+00  5.4165566e+03 -2.1439025e-02
  3.5090267e+01  3.5000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient2@0s.json
,5,"[7.38151398e+01 9.69619217e+01 9.52300339e+01 1.13304543e+02
 7.45319214e+01 9.78955448e-01 3.85109673e+01 1.50753765e+01
 3.28169289e+01 5.66184616e+00 5.38776416e+03 8.64146352e-02
 3.82343445e+01 3.50000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient2@0s.json
,1,"[7.1043938e+01 9.9580559e+01 9.5265091e+01 1.1452319e+02 7.3185287e+01
 9.7422767e-01 4.0909706e+01 1.4150944e+01 3.2832458e+01 5.6922464e+00
 4.6211392e+03 3.4953490e-02 4.8059693e-01 6.0000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient0@0s.json
,2,"[ 7.2155029e+01  8.5644447e+01  9.4532341e+01  1.1352269e+02
  7.2720093e+01  9.7923231e-01  3.9717442e+01  1.5463918e+01
  3.2803440e+01  5.6955037e+00  4.5877661e+03 -4.8285715e-02
  4.0421760e-01  6.0000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient0@0s.json
,3,"[ 7.2603378e+01  7.9793694e+01  9.5215813e+01  1.1384823e+02
  7.3884071e+01  9.8083079e-01  3.8602100e+01  1.5706806e+01
  3.2776424e+01  5.5734143e+00  4.5580229e+03 -2.7857143e-02
  3.8578056e+01  6.0000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient0@0s.json
,4,"[ 7.3259270e+01  8.1036736e+01  9.5187027e+01  1.1363872e+02
  7.4091179e+01  9.8131764e-01  3.8083958e+01  1.5625000e+01
  3.2751015e+01  5.5598469e+00  4.5314688e+03 -2.8268293e-02
  3.9977150e+00  6.0000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient0@0s.json
,5,"[7.36271057e+01 1.10283371e+02 9.51473389e+01 1.13422554e+02
 7.43016968e+01 9.81200218e-01 3.81464882e+01 1.54639177e+01
 3.27271309e+01 5.52443075e+00 4.50806396e+03 3.54682922e-01
 3.82881279e+01 6.00000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient0@0s.json
,1,"[ 7.07461548e+01  1.09194275e+02  9.52107162e+01  1.14680099e+02
  7.32925186e+01  9.72352684e-01  4.10308418e+01  1.42857141e+01
  3.27776566e+01  5.25714493e+00  4.87220898e+03 -2.12790705e-02
  3.35987151e-01  2.10000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient1@0s.json
,2,"[ 7.1750145e+01  8.0666031e+01  9.5165443e+01  1.1447011e+02
  7.3465836e+01  9.7792667e-01  3.8921204e+01  1.5625000e+01
  3.2740807e+01  5.2779794e+00  4.8468467e+03 -2.7857143e-02
  3.0398709e-01  2.1000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient1@0s.json
,3,"[ 7.2332428e+01  1.0859967e+02  9.5954422e+01  1.1499000e+02
  7.4701294e+01  9.7934979e-01  3.7974434e+01  1.5706806e+01
  3.2705700e+01  5.2103839e+00  4.8248765e+03 -1.7999999e-02
  1.0627991e+00  2.1000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient1@0s.json
,4,"[7.24850082e+01 8.71564407e+01 9.58338547e+01 1.14689316e+02
 7.48197784e+01 9.79278624e-01 3.80357590e+01 1.56250000e+01
 3.26725769e+01 5.16486692e+00 4.80578223e+03 2.05428571e-01
 3.80851784e+01 2.10000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient1@0s.json
,5,"[7.2376465e+01 8.5436897e+01 9.5151855e+01 1.1380712e+02 7.4288918e+01
 9.7921699e-01 3.8154411e+01 1.5544042e+01 3.2641342e+01 5.1050501e+00
 4.7894116e+03 1.5700001e-01 3.0398595e-01 2.1000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient1@0s.json
0,1,"[ 7.07461548e+01  1.09194275e+02  9.52107162e+01  1.14680099e+02
  7.32925186e+01  9.72352684e-01  4.10308418e+01  1.42857141e+01
  3.27776566e+01  5.25714493e+00  4.87220898e+03 -2.12790705e-02
  3.35987151e-01  2.10000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient1@0s.json
0,2,"[ 7.1750145e+01  8.0666031e+01  9.5165443e+01  1.1447011e+02
  7.3465836e+01  9.7792667e-01  3.8921204e+01  1.5625000e+01
  3.2740807e+01  5.2779794e+00  4.8468467e+03 -2.7857143e-02
  3.0398709e-01  2.1000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient1@0s.json
0,3,"[ 7.2332428e+01  1.0859967e+02  9.5954422e+01  1.1499000e+02
  7.4701294e+01  9.7934979e-01  3.7974434e+01  1.5706806e+01
  3.2705700e+01  5.2103839e+00  4.8248765e+03 -1.7999999e-02
  1.0627991e+00  2.1000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient1@0s.json
0,4,"[7.24850082e+01 8.71564407e+01 9.58338547e+01 1.14689316e+02
 7.48197784e+01 9.79278624e-01 3.80357590e+01 1.56250000e+01
 3.26725769e+01 5.16486692e+00 4.80578223e+03 2.05428571e-01
 3.80851784e+01 2.10000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient1@0s.json
0,5,"[7.2376465e+01 8.5436897e+01 9.5151855e+01 1.1380712e+02 7.4288918e+01
 9.7921699e-01 3.8154411e+01 1.5544042e+01 3.2641342e+01 5.1050501e+00
 4.7894116e+03 1.5700001e-01 3.0398595e-01 2.1000000e+01]",C:\Users\michellexu\Pulse\engine\src\python\pulse\rl-hemorrhage-resuscitation\ich_env\..\configs\patient_configs\Patient1@0s.json
0,1,"[ 7.07461548e+01  1.09194275e+02  9.52107162e+01  1.14680099e+02
  7.32925186e+01  9.72352684e-01  4.10308418e+01  1.42857141e+01
  3.27776566e+01  5.25714493e+00  4.87220898e+03 -2.12790705e-02
  3.35987151e-01  2.10000000e+01]",1
0,2,"[ 7.1750145e+01  8.0666031e+01  9.5165443e+01  1.1447011e+02
  7.3465836e+01  9.7792667e-01  3.8921204e+01  1.5625000e+01
  3.2740807e+01  5.2779794e+00  4.8468467e+03 -2.7857143e-02
  3.0398709e-01  2.1000000e+01]",1
0,3,"[ 7.2332428e+01  1.0859967e+02  9.5954422e+01  1.1499000e+02
  7.4701294e+01  9.7934979e-01  3.7974434e+01  1.5706806e+01
  3.2705700e+01  5.2103839e+00  4.8248765e+03 -1.7999999e-02
  1.0627991e+00  2.1000000e+01]",1
0,4,"[7.24850082e+01 8.71564407e+01 9.58338547e+01 1.14689316e+02
 7.48197784e+01 9.79278624e-01 3.80357590e+01 1.56250000e+01
 3.26725769e+01 5.16486692e+00 4.80578223e+03 2.05428571e-01
 3.80851784e+01 2.10000000e+01]",1
0,5,"[7.2376465e+01 8.5436897e+01 9.5151855e+01 1.1380712e+02 7.4288918e+01
 9.7921699e-01 3.8154411e+01 1.5544042e+01 3.2641342e+01 5.1050501e+00
 4.7894116e+03 1.5700001e-01 3.0398595e-01 2.1000000e+01]",1
0,1,"[ 7.07461548e+01  1.09194275e+02  9.52107162e+01  1.14680099e+02
  7.32925186e+01  9.72352684e-01  4.10308418e+01  1.42857141e+01
  3.27776566e+01  5.25714493e+00  4.87220898e+03 -2.12790705e-02
  3.35987151e-01  2.10000000e+01]",1
0,2,"[ 7.1750145e+01  8.0666031e+01  9.5165443e+01  1.1447011e+02
  7.3465836e+01  9.7792667e-01  3.8921204e+01  1.5625000e+01
  3.2740807e+01  5.2779794e+00  4.8468467e+03 -2.7857143e-02
  3.0398709e-01  2.1000000e+01]",1
0,3,"[ 7.2332428e+01  1.0859967e+02  9.5954422e+01  1.1499000e+02
  7.4701294e+01  9.7934979e-01  3.7974434e+01  1.5706806e+01
  3.2705700e+01  5.2103839e+00  4.8248765e+03 -1.7999999e-02
  1.0627991e+00  2.1000000e+01]",1
0,4,"[7.24850082e+01 8.71564407e+01 9.58338547e+01 1.14689316e+02
 7.48197784e+01 9.79278624e-01 3.80357590e+01 1.56250000e+01
 3.26725769e+01 5.16486692e+00 4.80578223e+03 2.05428571e-01
 3.80851784e+01 2.10000000e+01]",1
0,5,"[7.2376465e+01 8.5436897e+01 9.5151855e+01 1.1380712e+02 7.4288918e+01
 9.7921699e-01 3.8154411e+01 1.5544042e+01 3.2641342e+01 5.1050501e+00
 4.7894116e+03 1.5700001e-01 3.0398595e-01 2.1000000e+01]",1
1,1,"[7.1043938e+01 9.9580559e+01 9.5265091e+01 1.1452319e+02 7.3185287e+01
 9.7422767e-01 4.0909706e+01 1.4150944e+01 3.2832458e+01 5.6922464e+00
 4.6211392e+03 3.4953490e-02 4.8059693e-01 6.0000000e+01]",0
1,2,"[ 7.2155029e+01  8.5644447e+01  9.4532341e+01  1.1352269e+02
  7.2720093e+01  9.7923231e-01  3.9717442e+01  1.5463918e+01
  3.2803440e+01  5.6955037e+00  4.5877661e+03 -4.8285715e-02
  4.0421760e-01  6.0000000e+01]",0
1,3,"[ 7.2603378e+01  7.9793694e+01  9.5215813e+01  1.1384823e+02
  7.3884071e+01  9.8083079e-01  3.8602100e+01  1.5706806e+01
  3.2776424e+01  5.5734143e+00  4.5580229e+03 -2.7857143e-02
  3.8578056e+01  6.0000000e+01]",0
1,4,"[ 7.3259270e+01  8.1036736e+01  9.5187027e+01  1.1363872e+02
  7.4091179e+01  9.8131764e-01  3.8083958e+01  1.5625000e+01
  3.2751015e+01  5.5598469e+00  4.5314688e+03 -2.8268293e-02
  3.9977150e+00  6.0000000e+01]",0
2,1,"[7.1043938e+01 9.9580559e+01 9.5265091e+01 1.1452319e+02 7.3185287e+01
 9.7422767e-01 4.0909706e+01 1.4150944e+01 3.2832458e+01 5.6922464e+00
 4.6211392e+03 3.4953490e-02 4.8059693e-01 6.0000000e+01]",0
2,2,"[ 7.2155029e+01  8.5644447e+01  9.4532341e+01  1.1352269e+02
  7.2720093e+01  9.7923231e-01  3.9717442e+01  1.5463918e+01
  3.2803440e+01  5.6955037e+00  4.5877661e+03 -4.8285715e-02
  4.0421760e-01  6.0000000e+01]",0
2,3,"[ 7.2603378e+01  7.9793694e+01  9.5215813e+01  1.1384823e+02
  7.3884071e+01  9.8083079e-01  3.8602100e+01  1.5706806e+01
  3.2776424e+01  5.5734143e+00  4.5580229e+03 -2.7857143e-02
  3.8578056e+01  6.0000000e+01]",0
2,4,"[ 7.3259270e+01  8.1036736e+01  9.5187027e+01  1.1363872e+02
  7.4091179e+01  9.8131764e-01  3.8083958e+01  1.5625000e+01
  3.2751015e+01  5.5598469e+00  4.5314688e+03 -2.8268293e-02
  3.9977150e+00  6.0000000e+01]",0
2,5,"[7.36271057e+01 1.10283371e+02 9.51473389e+01 1.13422554e+02
 7.43016968e+01 9.81200218e-01 3.81464882e+01 1.54639177e+01
 3.27271309e+01 5.52443075e+00 4.50806396e+03 3.54682922e-01
 3.82881279e+01 6.00000000e+01]",0
2,1,"[7.1043938e+01 9.9580559e+01 9.5265091e+01 1.1452319e+02 7.3185287e+01
 9.7422767e-01 4.0909706e+01 1.4150944e+01 3.2832458e+01 5.6922464e+00
 4.6211392e+03 3.4953490e-02 4.8059693e-01 6.0000000e+01]",0
2,2,"[ 7.2155029e+01  8.5644447e+01  9.4532341e+01  1.1352269e+02
  7.2720093e+01  9.7923231e-01  3.9717442e+01  1.5463918e+01
  3.2803440e+01  5.6955037e+00  4.5877661e+03 -4.8285715e-02
  4.0421760e-01  6.0000000e+01]",0
5,1,"[7.1050758e+01 7.3552612e+01 9.5337494e+01 1.1435161e+02 7.3556244e+01
 9.7142690e-01 4.1107193e+01 1.3636364e+01 3.2888988e+01 5.8060613e+00
 5.5230898e+03 7.0023254e-02 4.1137997e+01 3.5000000e+01]",2
5,2,"[7.23090515e+01 1.02569595e+02 9.60340042e+01 1.14739410e+02
 7.47145157e+01 9.76841152e-01 3.99178581e+01 1.48514853e+01
 3.28690720e+01 5.76720524e+00 5.48386426e+03 2.14285720e-02
 6.73979187e+00 3.50000000e+01]",2
5,3,"[7.26084442e+01 1.12132339e+02 9.52715836e+01 1.13670738e+02
 7.42098389e+01 9.78467107e-01 3.89751854e+01 1.50753765e+01
 3.28506241e+01 5.68953133e+00 5.44859912e+03 6.67999983e-01
 7.78831434e+00 3.50000000e+01]",2
5,1,"[7.1050758e+01 7.3552612e+01 9.5337494e+01 1.1435161e+02 7.3556244e+01
 9.7142690e-01 4.1107193e+01 1.3636364e+01 3.2888988e+01 5.8060613e+00
 5.5230898e+03 7.0023254e-02 4.1137997e+01 3.5000000e+01]",2
5,2,"[7.23090515e+01 1.02569595e+02 9.60340042e+01 1.14739410e+02
 7.47145157e+01 9.76841152e-01 3.99178581e+01 1.48514853e+01
 3.28690720e+01 5.76720524e+00 5.48386426e+03 2.14285720e-02
 6.73979187e+00 3.50000000e+01]",2
5,3,"[7.26084442e+01 1.12132339e+02 9.52715836e+01 1.13670738e+02
 7.42098389e+01 9.78467107e-01 3.89751854e+01 1.50753765e+01
 3.28506241e+01 5.68953133e+00 5.44859912e+03 6.67999983e-01
 7.78831434e+00 3.50000000e+01]",2
5,4,"[ 7.3350548e+01  1.0897496e+02  9.5256981e+01  1.1349138e+02
  7.4347023e+01  9.7903925e-01  3.8501026e+01  1.5151515e+01
  3.2833256e+01  5.6845798e+00  5.4165566e+03 -2.1439025e-02
  3.5090267e+01  3.5000000e+01]",2
5,5,"[7.38151398e+01 9.69619217e+01 9.52300339e+01 1.13304543e+02
 7.45319214e+01 9.78955448e-01 3.85109673e+01 1.50753765e+01
 3.28169289e+01 5.66184616e+00 5.38776416e+03 8.64146352e-02
 3.82343445e+01 3.50000000e+01]",2
5,1,"[7.1050758e+01 7.3552612e+01 9.5337494e+01 1.1435161e+02 7.3556244e+01
 9.7142690e-01 4.1107193e+01 1.3636364e+01 3.2888988e+01 5.8060613e+00
 5.5230898e+03 7.0023254e-02 4.1137997e+01 3.5000000e+01]",2
